x   host1          host2 
193 3.81 GBytes 32.8 Gbits/sec       4.88 GBytes 41.9 Gbits/sec
194 3.32 GBytes 28.5 Gbits/sec       5.24 GBytes 45 Gbits/sec
195 4.05 GBytes 34.8 Gbits/sec       4.7 GBytes 40.4 Gbits/sec
196 4.18 GBytes 35.9 Gbits/sec       4.64 GBytes 39.9 Gbits/sec
197 3.96 GBytes 34 Gbits/sec       4.13 GBytes 35.5 Gbits/sec
198 3.25 GBytes 28 Gbits/sec       4.07 GBytes 35 Gbits/sec
199 4.96 GBytes 42.6 Gbits/sec       3.18 GBytes 27.3 Gbits/sec
200 3.68 GBytes 31.6 Gbits/sec       4.13 GBytes 35.5 Gbits/sec
201 2.17 GBytes 18.7 Gbits/sec       2.51 GBytes 21.5 Gbits/sec
202 3.89 GBytes 33.4 Gbits/sec       3.18 GBytes 27.3 Gbits/sec
203 2.66 GBytes 22.8 Gbits/sec       2.83 GBytes 24.3 Gbits/sec
204 1.98 GBytes 17 Gbits/sec       1.84 GBytes 15.8 Gbits/sec
205 3.76 GBytes 32.3 Gbits/sec       4.42 GBytes 37.9 Gbits/sec
206 4.19 GBytes 36 Gbits/sec       4.42 GBytes 37.9 Gbits/sec
207 4.26 GBytes 36.6 Gbits/sec       4.1 GBytes 35.2 Gbits/sec
208 3.99 GBytes 34.3 Gbits/sec       3.39 GBytes 29.1 Gbits/sec
209 3.92 GBytes 33.7 Gbits/sec       4.44 GBytes 38.1 Gbits/sec
210 3.81 GBytes 32.7 Gbits/sec       4.53 GBytes 38.9 Gbits/sec
211 3.87 GBytes 33.2 Gbits/sec       3.7 GBytes 31.8 Gbits/sec
212 3.69 GBytes 31.7 Gbits/sec       4.19 GBytes 36 Gbits/sec
213 3.72 GBytes 32 Gbits/sec       4.51 GBytes 38.8 Gbits/sec
214 4.14 GBytes 35.6 Gbits/sec       4.01 GBytes 34.4 Gbits/sec
215 3.89 GBytes 33.4 Gbits/sec       4.7 GBytes 40.4 Gbits/sec
216 3.91 GBytes 33.6 Gbits/sec       4.51 GBytes 38.7 Gbits/sec
217 3.88 GBytes 33.3 Gbits/sec       4.55 GBytes 39.1 Gbits/sec
218 3.69 GBytes 31.7 Gbits/sec       3.33 GBytes 28.6 Gbits/sec
219 4.05 GBytes 34.8 Gbits/sec       4.1 GBytes 35.2 Gbits/sec
220 4.13 GBytes 35.5 Gbits/sec       3.47 GBytes 29.8 Gbits/sec
221 3.95 GBytes 33.9 Gbits/sec       3.11 GBytes 26.7 Gbits/sec
222 4.25 GBytes 36.5 Gbits/sec       4.27 GBytes 36.7 Gbits/sec
223 4.04 GBytes 34.7 Gbits/sec       4.58 GBytes 39.4 Gbits/sec
224 3.83 GBytes 32.9 Gbits/sec       4.64 GBytes 39.8 Gbits/sec
225 3.95 GBytes 33.9 Gbits/sec       4.23 GBytes 36.4 Gbits/sec
